Date,Close_price
11/28/2014 ,54664.36
12/1/2014 ,52276.58
12/2/2014 ,51612.47
12/3/2014 ,52320.48
12/4/2014 ,51426.87
12/5/2014 ,51992.89
12/8/2014 ,50274.07
12/9/2014 ,50193.47
12/10/2014 ,49548.08
12/11/2014 ,49861.81
12/12/2014 ,48001.98
12/15/2014 ,47018.68
12/16/2014 ,47007.51
12/17/2014 ,48713.64
12/18/2014 ,48495.7
12/19/2014 ,49650.98
12/22/2014 ,50120.86
12/23/2014 ,50889.81
12/26/2014 ,50144.63
12/29/2014 ,50593.82
12/30/2014 ,50007.41
1/2/2015 ,48512.22
1/5/2015 ,47516.82
1/7/2015 ,48000.92
1/8/2015 ,49943.3
1/9/2015 ,48840.25
1/12/2015 ,48139.74
1/13/2015 ,48041.67
1/14/2015 ,47645.87
1/15/2015 ,48026.31
1/16/2015 ,49016.52
1/19/2015 ,47758.01
1/20/2015 ,47876.66
1/21/2015 ,49224.08
1/23/2015 ,48775.3
1/26/2015 ,48576.55
1/27/2015 ,48591.23
1/28/2015 ,47694.54
1/29/2015 ,47762.24
1/30/2015 ,46907.68
2/2/2015 ,47650.73
2/3/2015 ,48963.66
2/4/2015 ,49301.05
2/5/2015 ,49233.85
2/6/2015 ,48792.27
2/9/2015 ,49382.58
2/10/2015 ,48510.28
2/11/2015 ,48239.67
2/12/2015 ,49532.72
2/13/2015 ,50635.92
2/18/2015 ,51280.36
2/19/2015 ,51294.03
2/20/2015 ,51237.7
2/23/2015 ,51280.64
2/24/2015 ,51874.17
2/25/2015 ,51811.02
2/26/2015 ,51760.54
2/27/2015 ,51583.09
3/2/2015 ,51020.81
3/3/2015 ,51304.1
3/4/2015 ,50468.05
3/5/2015 ,50365.2
3/6/2015 ,49981.19
3/9/2015 ,49181.01
3/10/2015 ,48293.4
3/11/2015 ,48905.58
3/12/2015 ,48880.4
3/13/2015 ,48595.81
3/16/2015 ,48848.21
3/17/2015 ,50285.12
3/18/2015 ,51526.19
3/19/2015 ,50953.53
3/20/2015 ,51966.58
3/23/2015 ,51908.46
3/24/2015 ,51506.07
3/25/2015 ,51858.3
3/26/2015 ,50579.85
3/27/2015 ,50094.66
3/30/2015 ,51243.45
3/31/2015 ,51150.16
4/1/2015 ,52321.76
4/2/2015 ,53123.02
4/6/2015 ,53737.26
4/7/2015 ,53729.16
4/8/2015 ,53661.11
4/9/2015 ,53802.66
4/10/2015 ,54214.11
4/13/2015 ,54239.77
4/14/2015 ,53981.92
4/15/2015 ,54918.74
4/16/2015 ,54674.21
4/17/2015 ,53954.79
4/20/2015 ,53761.27
4/22/2015 ,54617.36
4/23/2015 ,55684.85
4/24/2015 ,56594.22
4/27/2015 ,55534.5
4/28/2015 ,55812.03
4/29/2015 ,55325.29
4/30/2015 ,56229.38
5/4/2015 ,57353.98
5/5/2015 ,58051.61
5/6/2015 ,57103.14
5/7/2015 ,56921.39
5/8/2015 ,57149.33
5/11/2015 ,57197.1
5/12/2015 ,56792.05
5/13/2015 ,56372.04
5/14/2015 ,56656.57
5/15/2015 ,57248.63
5/18/2015 ,56204.23
5/19/2015 ,55498.82
5/20/2015 ,54901.02
5/21/2015 ,55112.05
5/22/2015 ,54377.29
5/25/2015 ,54609.26
5/26/2015 ,53629.78
5/27/2015 ,54236.25
5/28/2015 ,53976.28
5/29/2015 ,52760.48
6/1/2015 ,53031.32
6/2/2015 ,54236.44
6/3/2015 ,53522.91
6/5/2015 ,52973.38
6/8/2015 ,52809.64
6/9/2015 ,52815.99
